A 10 B 10 C 7000 D 10000
<<<<<<< HEAD
n 19867 14301
n 27394 27433
n 3218 24157
n 7812 19936
n 30890 21059
n 29846 9959
n 18236 16567
n 31465 2427
n 12974 5658
n 28605 12496
m 4382 16837
m 27413 20058
m 31081 25899
m 3100 8942
m 9506 13211
m 24443 3030
m 24618 1788
m 27820 23379
m 593 19442
m 23518 27337
=======
n 4437 20264
n 19724 21549
n 18066 21973
n 20700 3560
n 951 26895
n 31939 2037
n 28285 26666
n 21964 22673
n 24329 10996
n 22919 26379
m 31419 18190
m 16826 6702
m 19726 4826
m 7719 10553
m 13279 10793
m 18897 7680
m 17071 619
m 6235 21864
m 25325 12453
m 30087 2075
>>>>>>> ce7dc34 (plot e problema do solver otimo)
