A 10 B 10 C 7000 D 10000
<<<<<<< HEAD
n 27113 4383
n 8344 316
n 24391 22779
n 30805 11877
n 16255 26100
n 31171 21088
n 25291 9069
n 18253 442
n 20575 3990
n 25696 16250
m 11491 17790
m 12489 3659
m 14615 13333
m 26207 24922
m 10109 25178
m 1042 8439
m 6403 7179
m 7966 18259
m 9598 8299
m 2144 5607
=======
n 10610 8004
n 14462 1691
n 11927 22055
n 7488 17642
n 1787 13090
n 32347 24800
n 16304 18991
n 17386 11532
n 24599 199
n 26478 3722
m 9969 17291
m 10934 21423
m 25896 22980
m 6357 27814
m 31529 25648
m 8751 12599
m 5426 19611
m 22558 20912
m 11923 11981
m 20262 28014
>>>>>>> ce7dc34 (plot e problema do solver otimo)
