A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
n 23516 17493
n 24740 7379
n 15263 16235
n 18338 6465
n 19650 16486
n 28373 4102
n 32676 9322
n 17347 11652
n 31077 23031
n 27922 6915
n 1030 11201
n 30200 11336
n 19873 7830
n 19793 15499
n 13030 15378
n 26157 22405
n 21939 26086
n 11994 21579
n 604 21052
n 22303 3959
n 28622 8762
n 15689 1250
n 31302 6526
n 26251 1058
n 5919 24452
n 15787 25858
n 12944 15281
n 23945 9704
n 4202 17621
n 26911 13312
n 31601 23847
n 30644 6339
n 26539 239
n 30101 14050
n 21470 25653
n 15125 19226
n 21232 10923
n 12757 29884
n 20244 17720
n 26237 5635
n 26857 25775
n 2813 16066
n 19280 4453
n 19832 8910
n 9584 8986
n 29733 25285
n 6881 27091
n 11712 18586
n 25915 335
n 22398 24916
n 27479 13266
n 27883 21845
n 29665 11664
n 32596 14631
n 28344 12751
n 14025 14386
n 26395 9745
n 11881 2160
n 27516 24997
n 1608 12056
n 16555 29070
n 15390 2560
n 7391 10469
n 10998 23618
n 2070 16560
n 19342 11482
n 29954 7564
n 12294 15950
n 19713 22772
n 16120 16127
n 18935 13798
n 20355 26702
n 2614 2415
n 25434 14002
n 28954 15076
n 2339 8919
n 2262 3875
n 29599 6285
n 19866 10894
n 26221 7918
n 31434 11100
n 2551 11796
n 17131 11074
n 19664 7171
n 31399 7034
n 26600 2949
n 22074 14898
n 4172 24977
n 27688 20869
n 15533 1986
n 12791 15437
n 11529 14328
n 14431 3800
n 3164 7852
n 29703 29191
n 12687 8635
n 5468 11931
n 29112 30000
n 23186 25103
n 24563 22995
m 15583 19668
m 16177 6665
m 32605 27308
m 23304 22669
m 19036 4653
m 664 22009
m 22070 21423
m 31150 12586
m 32171 18639
m 11889 18719
m 13644 4619
m 18693 29788
m 19334 822
m 27500 16751
m 1813 22083
m 24538 20811
m 8860 18874
m 30581 28907
m 9263 24342
m 22922 1600
m 31557 18523
m 4055 10248
