A 10 B 10 C 7000 D 10000
<<<<<<< HEAD
n 5561 25246
n 25010 5292
n 20464 2134
n 24259 1832
n 13798 6755
n 17657 19112
n 3322 199
n 8610 22843
n 20096 5432
n 25004 28866
m 13985 19789
m 809 20828
m 20946 4393
m 12592 24548
m 23543 20540
m 17639 323
m 30903 3191
m 29230 2454
m 32763 28798
m 27918 26183
=======
n 25687 23907
n 9608 28747
n 32782 2644
n 12551 4100
n 5698 22694
n 16332 16318
n 30162 5852
n 20147 21822
n 28036 20428
n 30510 10972
m 8479 29826
m 13903 502
m 31786 8165
m 19462 13383
m 18342 3535
m 7993 18082
m 13600 29207
m 26870 4403
m 31439 6221
m 27412 5820
>>>>>>> ce7dc34 (plot e problema do solver otimo)
