A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
n 197 8715
n 15045 9427
n 12993 21539
n 25109 20551
n 3503 12814
n 27637 19283
n 25324 29217
n 27994 13639
n 17294 15432
n 29092 28165
n 2052 16872
n 25068 7279
n 21005 10606
n 3672 19834
n 24304 8563
n 15544 780
n 4868 9756
n 11175 11107
n 15215 17295
n 4442 2618
n 5343 14932
n 24730 21497
n 17547 10619
n 20008 17122
n 20395 26480
n 16786 26308
n 20125 1373
n 22561 22403
n 19633 9959
n 9743 12078
n 28583 14576
n 20623 4927
n 28085 28601
n 2900 10702
n 21499 7615
n 12391 29059
n 8067 19966
n 19107 10045
n 11749 21456
n 26680 7306
n 16804 5082
n 6342 10302
n 2097 29006
n 23773 1475
n 15829 6359
n 11767 14193
n 18818 13054
n 31991 33
n 20533 26934
n 8937 16560
n 27729 1841
n 30085 28789
n 24611 2943
n 22692 22182
n 20158 17691
n 32319 2069
n 18245 15876
n 1855 9448
n 13643 25951
n 16437 6140
n 20271 10968
n 8052 17084
n 18805 7647
n 25742 10863
n 23948 24562
n 29573 15732
n 32584 5530
n 32467 19886
n 4627 23704
n 14223 23234
n 25306 13028
n 3750 22305
n 6092 20967
n 8276 20301
n 7751 18240
n 21872 6186
n 1461 21741
n 22988 19360
n 7686 25230
n 21257 17694
n 30881 19003
n 27454 11644
n 29960 10607
n 32415 22875
n 24037 13868
n 3040 24972
n 18845 4377
n 9849 20640
n 3855 22739
n 7314 14248
n 6926 21752
n 3751 25362
n 17777 3687
n 27298 4752
n 8226 16726
n 21621 10666
n 17846 22624
n 5513 6952
n 3014 23144
n 15329 21358
m 6219 16514
m 7594 19503
m 21856 20605
m 16769 23984
m 5238 17014
m 13644 25790
m 6270 11038
m 30021 7223
m 11374 15795
m 17478 10420
m 16474 22436
m 15856 24003
m 1945 13501
m 30370 29450
m 25710 7674
m 14899 2183
m 28540 26717
m 15696 13469
m 2160 29386
m 25211 26787
m 28515 10630
m 25017 20040
m 20834 24823
m 23062 1327
m 24135 1355
