A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
n 16815 26720
n 12217 28076
n 24143 10500
n 15874 21067
n 5970 23878
n 5557 16820
n 8385 16283
n 14059 29281
n 28437 10934
n 15123 26010
n 16008 5110
n 20600 3366
n 4171 9417
n 3060 3635
n 8697 13203
n 5107 23931
n 14214 17931
n 16129 28345
n 11275 10460
n 31040 20894
n 29363 28613
n 11876 7599
n 3790 3961
n 17775 1689
n 16935 11582
n 23755 14284
n 10069 2240
n 24464 20447
n 19990 23051
n 3666 14880
n 29574 10405
n 16702 29845
n 5535 8637
n 26931 9886
n 383 6919
n 11002 27090
n 31226 79
n 7670 4574
n 31616 21917
n 7369 24275
n 7803 8649
n 23963 15395
n 10358 18922
n 28874 17791
n 7771 20078
n 12946 17902
n 26790 25523
n 16161 13867
n 15474 5761
n 11029 26980
n 19580 5764
n 6370 25903
n 26177 21860
n 25349 18088
n 27190 7696
n 24139 23871
n 15296 12321
n 29771 1825
n 1397 17090
n 20239 27842
n 19372 7425
n 32267 6536
n 3459 15813
n 12631 20527
n 22254 1707
n 24597 26339
n 6177 24279
n 8307 10753
n 10889 3251
n 3090 19372
n 22565 14263
n 14748 27211
n 20168 11230
n 18211 16928
n 20572 5388
n 8634 14106
n 18418 28628
n 27024 22150
n 23443 27597
n 15478 26527
n 11191 11698
n 27587 8090
n 7440 6519
n 25962 9291
n 7245 18945
n 17560 23452
n 7559 1037
n 32433 9498
n 29372 19208
n 14721 17981
n 17023 9386
n 23885 12628
n 12451 2075
n 20844 18860
n 18916 21317
n 27049 1266
n 7514 29530
n 31263 15594
n 26274 12073
n 23745 1619
m 6743 17427
m 2708 18557
m 18183 26052
m 10886 4041
m 27288 24894
m 18043 6340
m 20948 7783
m 3697 8066
m 32247 18558
m 6968 29982
m 192 22245
m 11855 13975
m 28778 10767
m 5170 7906
m 20951 14458
m 2495 10721
m 22955 26286
m 15075 15049
m 20698 21070
m 23075 23304
m 16000 19105
m 10725 603
m 26726 14616
m 9591 14048
m 14606 16319
m 30215 12565
m 2486 28814
m 23349 24350
m 7871 25155
m 24272 5434
m 25151 13781
m 31853 17263
m 3663 15429
m 23636 25150
m 9914 11561
m 14554 3359
m 12761 1404
m 20749 28997
m 17755 7088
m 5981 24051
m 4674 4933
m 31323 24198
m 2574 22189
m 22790 22098
m 21629 23254
m 11672 17053
m 16174 6146
m 9625 20818
m 18518 13724
m 13478 11161
m 26667 28784
m 15986 15197
m 28126 19368
m 22965 3751
m 28744 25126
m 10369 29602
m 24218 20793
m 11679 27101
m 26802 23394
m 1904 27997
m 28634 19823
m 5208 4856
m 3992 11970
m 21933 25079
m 13004 11342
m 22587 11590
m 18329 1625
m 15908 22762
m 1256 17228
m 4302 17539
m 4503 28579
m 16328 5131
m 6896 12522
m 4460 11856
m 18869 21860
m 25938 25204
m 25089 29167
m 4354 18448
m 17289 4508
m 14332 29102
m 22599 14566
m 13182 8990
m 7214 17969
m 4929 28032
m 2417 23126
m 26252 23630
m 29320 23628
m 9011 15416
m 21853 23778
m 329 9439
m 7219 15442
m 12695 686
m 32893 22442
m 10699 10730
m 30430 24203
m 24563 1209
m 19203 17409
m 24244 11882
m 20163 10919
m 23898 16585
=======
n 981 23396
n 15213 20921
n 16726 9365
n 14390 17791
n 21056 24185
n 6393 8286
n 6797 13996
n 14855 20820
n 31688 2885
n 27340 743
n 4466 5419
n 20435 10430
n 4584 16080
n 21281 28900
n 4918 5142
n 28473 17531
n 12555 29395
n 29959 20083
n 29787 22600
n 2845 3034
n 17412 24124
n 32258 21239
n 717 3769
n 9519 8504
n 24665 2662
n 1775 13463
n 28498 21517
n 12314 110
n 23841 18284
n 30582 25263
n 22278 14197
n 22285 21697
n 22305 17942
n 230 29283
n 9526 22991
n 17772 2622
n 3950 9581
n 15293 2878
n 8612 24696
n 1564 20284
n 21131 14519
n 9193 23629
n 1504 21578
n 22055 23962
n 20390 13614
n 22755 17615
n 16421 10556
n 7512 3682
n 18700 19669
n 15921 21604
n 25083 17140
n 24383 6459
n 30579 6383
n 13345 2481
n 15508 1652
n 32606 676
n 31253 16272
n 26938 16330
n 25832 2202
n 11218 22952
n 16241 270
n 6314 24962
n 2079 22379
n 19567 15552
n 4408 8425
n 1125 24709
n 1056 1391
n 18556 28155
n 27582 6617
n 30540 20637
n 25592 4209
n 574 16472
n 7074 17180
n 13561 3323
n 22060 27139
n 14947 1193
n 5241 1115
n 27400 29016
n 11176 3196
n 29951 2672
n 16234 11546
n 883 14876
n 27595 13495
n 26037 4853
n 24968 24784
n 1060 13038
n 8202 15267
n 25512 6437
n 14118 405
n 11953 13569
n 31393 15012
n 25106 4003
n 32734 20239
n 28026 3048
n 8023 16634
n 24421 7212
n 27151 3080
n 3348 13241
n 9354 8887
n 17330 24898
m 28148 3901
m 25571 16337
m 20448 25155
m 18783 21538
m 19120 16075
m 6994 11780
m 10388 22003
m 12273 28863
m 30564 29240
m 15349 13135
m 6482 16740
m 1642 6813
m 12616 23621
m 742 18913
m 14305 20305
m 21868 13592
m 30145 29382
