A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
n 24906 18751
n 13331 9729
n 19665 14205
n 7328 13828
n 24273 12569
n 25069 10780
n 16390 1179
n 3071 13410
n 6675 21050
n 31549 13037
n 29452 15385
n 22860 11206
n 85 422
n 13509 12756
n 10827 5275
n 7 6386
n 23412 19771
n 26604 20260
n 31099 29026
n 1703 8035
n 8741 19688
n 5634 13796
n 30936 23640
n 1459 533
n 1229 29931
n 7464 27210
n 15346 2443
n 15845 16114
n 15710 14366
n 11733 25514
n 25578 2669
n 1175 10317
n 10115 26989
n 23552 11387
n 24402 3437
n 13547 4705
n 23640 9583
n 22504 14210
n 1778 10506
n 18641 16049
n 31954 17394
n 31220 10884
n 3527 4207
n 15186 21677
n 27791 20152
n 1764 23781
n 30282 16330
n 14503 22961
n 14194 5608
n 23892 3275
n 3943 6001
n 8904 12028
n 7696 21769
n 7667 13456
n 30740 6842
n 26492 5136
n 32679 8271
n 22640 24144
n 21839 3305
n 12194 5008
n 686 18447
n 29137 4082
n 1864 16893
n 27771 1350
n 24437 19969
n 20104 13655
n 32748 11145
n 21690 12523
n 26709 13649
n 12366 12836
n 18524 29948
n 18232 11679
n 1375 12432
n 24883 8886
n 23047 28618
n 3557 19018
n 283 3614
n 28207 7397
n 1875 24473
n 19490 330
n 23065 27418
n 31189 5270
n 18908 8792
n 28403 28942
n 9578 13552
n 16639 22566
n 24229 19527
n 20451 11729
n 24468 26641
n 30111 21776
n 27877 12178
n 29941 7295
n 7372 26413
n 31275 18759
n 26832 10100
n 15999 28402
n 6686 1018
n 7887 25233
n 17733 18383
n 3111 23022
m 31267 27662
m 3990 13436
m 4566 28483
m 9425 12216
m 1088 20826
m 2164 23595
m 12558 27793
m 23520 18585
m 10840 13294
m 8205 19286
m 11971 29738
m 22853 19878
m 17702 1100
m 4939 21946
m 2640 1464
m 1186 15754
m 24164 15285
m 707 13319
m 8932 23270
m 18145 10980
m 10740 14205
m 6475 4824
m 32009 26265
m 18298 26883
m 14652 23440
m 16045 4403
m 25053 464
m 9989 4384
m 9293 21093
m 13090 3930
m 14588 21738
m 13805 19348
m 31040 3128
m 20191 1838
m 22003 21499
m 7054 27105
m 26711 10378
m 29818 20451
m 19465 24141
m 15893 4145
m 27962 4970
m 11087 9448
m 2236 15523
m 7509 21555
m 31779 26018
m 1290 14992
m 1198 26323
m 25165 27541
m 9163 10900
m 30981 13122
m 26977 8594
m 24492 22867
m 22798 19316
m 19930 28011
m 10348 483
m 11938 6724
m 9060 27142
m 6322 28979
m 17286 1922
m 16487 21959
m 26954 13985
m 28143 15704
m 29558 10322
m 2294 17854
m 12570 14446
m 30146 9039
m 2630 9970
m 8478 16453
m 7896 7986
m 2297 12269
m 15327 5206
m 10329 25410
m 18689 15359
m 18162 21198
m 3214 20899
m 6917 1220
m 27670 12192
m 15744 26995
m 21736 7278
m 7995 25146
m 17281 15675
m 17174 8477
m 27527 5175
m 23014 26941
m 12183 26660
m 21642 4368
m 7313 21950
m 26738 27679
m 10487 16408
m 30703 5606
m 2369 28072
m 11324 16008
m 21095 2919
m 5877 362
m 268 29201
m 376 7704
m 12129 16805
m 229 26199
m 14649 17952
m 13307 27235
=======
n 8371 2751
n 25857 8755
n 22029 20135
n 27308 8479
n 17137 18156
n 23766 134
n 29906 26126
n 864 5442
n 29560 25632
n 3444 18643
n 1970 17349
n 5701 2678
n 19490 21434
n 23737 26331
n 13664 8319
n 30660 13061
n 10707 13609
n 27754 26199
n 27574 15617
n 22951 17198
n 11021 21738
n 25846 20044
n 12363 9919
n 7234 10170
n 20663 28568
n 15207 13999
n 25360 23888
n 29931 16293
n 14904 25569
n 3868 22684
n 5552 10329
n 5501 22055
n 19791 21841
n 22972 7744
n 2807 145
n 2653 9050
n 9728 3830
n 108 6055
n 22209 14677
n 10373 5197
n 3015 19434
n 20021 1928
n 14309 23924
n 6173 6970
n 431 21051
n 17333 117
n 7560 794
n 14483 18275
n 27189 28468
n 558 23073
n 22007 21797
n 32129 25341
n 12243 13044
n 885 2551
n 14643 3810
n 27570 17924
n 26139 9547
n 17866 15760
n 32228 14940
n 29077 12493
n 8413 24793
n 3958 16013
n 21002 24475
n 6746 8220
n 30176 21787
n 22433 5005
n 2680 4060
n 12227 2284
n 29573 26291
n 30096 26131
n 7412 1451
n 32597 4924
n 9131 5647
n 4608 23789
n 162 21300
n 6935 12660
n 30921 23959
n 14571 690
n 17289 10172
n 1086 17690
n 20343 6050
n 13033 18078
n 32274 6824
n 17803 18830
n 15222 16635
n 17431 17449
n 5705 8821
n 30674 1285
n 22090 12159
n 12845 14424
n 14318 18787
n 2037 17527
n 1939 22314
n 30731 6620
n 25694 18551
n 25591 11658
n 27704 6922
n 22539 8107
n 20303 21872
n 29865 965
m 18769 24100
m 30257 24362
m 20047 21178
m 23256 4153
m 27914 10224
m 10936 13657
m 26110 15677
m 24756 28016
m 16123 11148
m 3172 4347
m 31455 18578
m 28935 15759
m 26023 17288
m 28261 27191
m 22973 10646
m 24666 26726
m 7763 24478
m 21110 5970
m 3202 7671
m 14343 1151
m 18666 1075
m 20827 24370
m 23484 21246
m 31438 6069
m 32963 22137
m 13630 28534
m 11798 5430
m 20805 3864
m 25385 5605
m 11155 9070
m 32321 7978
m 18946 9475
m 3266 15170
m 8036 28984
m 437 17758
m 26068 28757
m 723 29010
m 13180 26852
m 7987 6950
m 1126 29800
m 28979 94
m 5766 25959
m 8478 17725
m 14108 7802
m 25647 21551
m 8072 20445
m 13854 15623
m 14645 11087
m 1716 15589
m 31538 3807
m 18972 19081
m 2622 6459
m 24215 20582
m 316 5765
m 7701 113
m 1253 7038
m 16791 21408
m 14520 18013
m 22439 27437
m 12468 17175
m 20609 13555
m 19291 26805
m 4112 4401
m 14145 16935
m 26468 25235
m 2290 26516
m 15713 9814
m 24160 27377
m 21580 11307
m 17719 28305
m 12672 16000
m 29636 10576
m 1715 7242
m 28419 20396
m 25585 15303
