A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
n 12797 1324
n 6488 1327
n 552 23304
n 16148 541
n 26365 26620
n 12699 4309
n 1251 24169
n 25937 16197
n 25893 4242
n 22521 20952
n 862 4347
n 17794 24988
n 29596 21942
n 14701 25874
n 18820 10201
n 11842 20892
n 1315 17135
n 29848 6513
n 18666 9098
n 14095 12938
n 17246 9871
n 19909 25136
n 231 5760
n 24670 28671
n 32402 2001
n 421 22843
n 18552 27357
n 26241 19649
n 20096 13758
n 3552 24232
n 31041 26508
n 5249 24604
n 2425 22755
n 30643 23889
n 1435 7985
n 21481 29301
n 26515 24136
n 7951 5584
n 25583 29119
n 31235 1095
n 32944 14478
n 25214 13887
n 15355 26032
n 16284 29804
n 25211 28999
n 24764 731
n 9181 23021
n 6243 596
n 13593 5850
n 670 25378
n 4035 26118
n 16920 24579
n 1182 9861
n 26958 6022
n 7813 2553
n 6946 13465
n 16371 22157
n 8344 4625
n 10792 1820
n 21492 15671
n 20671 25516
n 4885 1855
n 28609 10352
n 1124 13169
n 13114 18780
n 25556 19500
n 7479 12091
n 1926 3749
n 13060 21377
n 14984 171
n 11861 19159
n 762 23544
n 12060 19629
n 14327 6806
n 14222 18344
n 10652 19459
n 22586 25164
n 12705 10897
n 7118 11310
n 32281 11396
n 396 17698
n 16028 25964
n 13168 3218
n 14153 16835
n 10513 12790
n 19283 26063
n 11416 21993
n 13144 15924
n 25391 7849
n 20593 23083
n 15715 5577
n 13219 21210
n 31945 24022
n 19933 12441
n 5271 3382
n 22848 3316
n 12645 1537
n 16859 27509
n 6414 25624
n 30548 9158
m 15582 6038
m 18304 25491
m 844 15633
m 5625 19777
m 14222 7019
m 25211 24912
m 1421 19605
m 9353 29632
m 18072 9928
m 22553 25142
m 22082 3334
m 23025 14855
m 22824 29428
m 32518 2149
m 28797 17751
m 14941 25740
m 29674 6299
m 2875 5825
m 20857 5602
m 3200 20755
m 17919 17773
m 12254 11264
m 19824 2339
m 26788 15066
m 8340 17657
m 6577 6778
m 30355 24227
m 27180 16394
m 24327 12050
m 31176 11299
m 919 26581
m 4904 21096
m 31355 7763
m 13911 27761
m 25326 19782
m 7258 575
m 22384 17568
m 8590 27467
m 3871 4917
m 4307 18308
m 11584 7314
m 20580 15249
m 19036 5370
m 16560 4722
m 29556 11538
m 12747 16662
m 14861 5779
m 5001 26294
m 22834 21305
m 15054 16200
m 31275 906
m 7810 22518
m 4419 3765
m 10447 20549
m 596 27215
m 10129 12341
m 21808 4464
m 2440 12217
m 384 11045
m 19805 6301
m 29968 7178
m 20590 9261
m 27125 10040
m 30666 17578
m 28795 9207
m 6933 15760
m 32708 16563
m 16137 20948
m 21894 3531
m 12156 4459
m 110 15917
m 18187 29752
m 17792 14043
m 29147 7985
m 24303 10129
m 26114 2721
m 18789 13978
m 3276 10518
m 19011 6070
m 15935 20323
m 10475 15199
m 9264 29102
m 4472 2577
m 13484 1069
m 26365 2262
m 8287 17994
m 32857 19601
m 30304 28754
m 31504 5959
m 12044 21944
m 22805 5243
m 32888 6783
m 18548 28247
m 9110 6754
m 10637 22215
m 18786 21551
m 18637 11077
m 29526 29152
m 10645 5748
m 2451 17236
=======
n 24136 12384
n 8754 24856
n 26331 6619
n 22696 1590
n 14771 6548
n 26866 29269
n 7256 29264
n 23366 27586
n 5654 10880
n 6673 14973
n 5799 24314
n 14033 840
n 18744 25086
n 11765 2749
n 13286 22919
n 30648 3849
n 16578 8539
n 5584 20085
n 21527 28158
n 29158 1380
n 6942 13879
n 4287 11867
n 22788 24610
n 30316 23546
n 1149 11355
n 11352 8925
n 1905 1503
n 13856 29363
n 29975 23918
n 19670 27335
n 8695 14929
n 9094 16985
n 32360 6181
n 11606 17450
n 3615 12421
n 14634 20203
n 21229 11390
n 1858 21824
n 16026 13326
n 12860 8041
n 25994 20775
n 227 17219
n 18276 7278
n 24018 25259
n 1818 3087
n 29150 28469
n 28710 13601
n 31899 23714
n 12487 11293
n 19707 21893
n 27185 4116
n 28384 21466
n 18882 3030
n 11585 9599
n 32266 3964
n 32283 11001
n 12061 27162
n 2122 8165
n 22722 13542
