A 10 B 10 C 7000 D 10000
<<<<<<< HEAD
n 4183 9559
n 13646 17112
n 6591 28061
n 18789 24431
n 27793 17141
n 3400 17878
n 19643 17022
n 19578 5636
n 1625 1639
n 15494 3203
m 26690 19246
m 3748 8734
m 27688 1495
m 12319 13156
m 18081 23410
m 20549 776
m 6276 2669
m 15620 12246
m 11227 25913
m 8995 4544
=======
n 5833 19326
n 17436 25679
n 32527 21374
n 30402 10362
n 26419 23445
n 25045 12618
n 4275 1002
n 9326 10231
n 3305 11679
n 20049 27071
m 15519 19460
m 19582 11475
m 27681 5746
m 22625 28420
m 30906 27940
m 19011 7170
m 23544 9402
m 3748 13177
m 16575 28188
m 17903 23581
>>>>>>> ce7dc34 (plot e problema do solver otimo)
