A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
n 15155 20668
n 25944 28760
n 3548 14433
n 25785 18522
n 4199 8750
n 18845 13141
n 13494 7948
n 19659 22283
n 15442 28555
n 23876 16144
n 2360 28514
n 19762 5673
n 20156 27469
n 9397 1408
n 21529 10073
n 20026 24615
n 29605 5466
n 30068 21134
n 9184 24674
n 6425 18299
n 16736 15921
n 11043 17749
n 25033 23402
n 12811 5686
n 3151 1395
n 23244 15172
n 4329 1313
n 22243 12652
n 17763 19802
n 30846 8671
n 29293 19568
n 31489 28724
n 24086 28735
n 25358 26756
n 24339 12501
n 12151 10157
n 29568 6723
n 30176 18977
n 22355 13215
n 6749 7812
n 20465 9316
n 15950 26945
n 1690 8412
n 17763 29752
n 25405 18745
n 14002 23268
n 1933 1932
n 29987 12037
n 25418 4282
n 27115 9316
n 16443 2720
n 13058 26279
n 32930 15151
n 218 10523
n 21620 12976
n 7639 2629
n 17232 15492
n 16025 9172
n 5018 7482
n 3604 16195
n 9087 27134
n 31995 16273
n 5077 17811
n 26624 7384
n 20724 27898
n 9348 17263
n 14876 29470
n 12721 24499
n 9736 12602
n 29412 14820
n 5084 25332
n 29616 20880
n 15440 2706
n 23044 4441
n 12251 4384
n 3741 24042
n 24031 21546
n 28780 2327
n 32727 13723
n 6787 26918
n 894 25371
n 24523 24153
n 9377 14249
n 23308 12836
n 31251 4398
n 1757 941
n 22853 22382
n 30736 3193
n 32058 18815
n 16309 22593
n 25826 9625
n 12566 26779
n 31840 27091
n 750 20880
n 2757 1634
n 26102 5492
n 10465 213
n 29780 3583
n 6366 29421
n 5468 25787
m 15969 9347
m 6320 3827
m 10708 13580
m 30674 3380
m 12102 22428
m 719 29148
m 19637 21116
m 21818 6727
m 31714 9313
m 27462 1778
m 28560 8146
m 9241 24747
m 6696 28287
m 2736 14485
m 17558 11783
m 32730 10305
m 28507 29711
m 23564 12230
m 19703 15522
m 9074 2083
m 9058 24773
m 21029 21464
m 30621 2171
m 14599 348
m 15627 17477
m 28195 21295
m 20098 28970
m 8722 6131
m 3969 15406
m 1845 1860
m 32912 3217
m 11466 11011
m 23358 9300
m 690 7709
m 16624 4534
m 27394 23877
m 213 1318
m 15068 23418
m 13516 4123
m 14210 25116
m 32464 26402
m 11773 21440
m 5093 19025
m 20796 925
m 36 25869
m 28830 6732
m 25113 23547
m 7873 24563
m 8630 19375
m 15052 17849
m 17501 14589
m 30423 27080
m 29956 10526
m 4321 19348
m 7386 21563
m 19687 16464
m 30811 21444
m 2048 23286
m 2781 26035
m 14247 17534
m 16738 21853
m 32349 23946
m 25570 15232
m 2473 1209
m 15645 24102
m 9950 28689
m 25419 10472
m 13357 16562
m 30207 25336
m 28697 22743
m 1364 23317
m 12905 8394
m 30664 15749
m 28883 15681
m 27721 23983
m 20553 16394
m 23446 17978
m 5383 24760
m 13434 1087
m 30192 29886
m 29911 18018
m 24618 28774
m 4232 22335
m 29590 9337
m 13746 20399
m 26707 14947
m 31387 3041
m 8970 27150
m 15594 20221
m 25597 18993
m 11915 9329
m 29293 25868
m 27618 19582
m 3536 24530
m 11023 21432
m 29851 21342
m 17036 13160
m 17180 10017
m 6057 9520
m 17602 21176
=======
n 26673 13773
n 28000 1776
n 4428 9734
n 25906 25561
n 27917 28735
n 30417 17216
n 16335 27758
n 9800 407
n 11045 14123
n 19938 14486
n 6174 16067
n 7558 15983
n 11556 15848
n 16038 28598
n 21077 5503
n 5732 2813
n 5760 483
n 19709 15957
n 15968 665
n 28617 21914
n 19555 9528
n 13693 14684
n 15683 6060
n 418 7424
n 958 4817
n 9854 22271
n 411 1469
n 2349 2708
n 30671 17945
n 4059 12581
n 21564 2057
n 20312 21935
n 9705 2641
n 23240 14521
n 32552 25935
n 29477 12681
n 16737 17575
n 2271 15167
n 11212 14038
n 13118 21559
n 2639 20705
n 19752 12025
n 19942 9009
n 15126 25226
n 15321 18829
n 1485 27873
n 27836 15717
n 25098 1063
n 30220 26400
n 6046 14324
n 29992 9842
n 20046 17941
n 20118 23421
n 22981 24706
n 4289 20705
n 26200 15053
n 11446 23368
n 9293 11578
n 5145 22838
n 30182 24698
n 9359 5395
n 32301 16489
n 4452 25896
n 1129 3876
n 26801 20936
n 30849 27666
n 10495 4269
n 16934 3098
n 9171 1886
n 19427 7880
n 24357 25689
n 32174 21472
n 18464 8921
n 23452 29912
n 9679 14593
n 18374 19843
n 23777 4959
n 13329 11537
n 4751 1754
n 16185 6539
n 12772 5799
n 32325 3163
n 10264 3022
n 7966 21076
n 25673 22395
n 24639 18853
n 1839 24476
n 19141 6128
n 16342 120
n 17976 21939
n 7378 15247
n 23205 8599
n 28937 10306
n 29220 14202
n 8524 1107
n 18567 6587
n 8821 5660
n 8732 14179
n 19585 23943
n 3089 4730
m 2174 20426
m 14430 13955
m 28189 13230
m 30953 23527
m 26332 8589
m 19917 20665
m 27818 23517
m 29024 6573
m 28088 4183
m 30040 24118
m 12290 5030
m 16751 6683
m 24946 22877
m 18757 14708
m 26839 29822
m 2296 19648
m 1249 28164
m 22057 15500
m 30281 28779
m 25525 21219
m 2924 26485
m 19156 15587
m 11974 20140
m 18006 21920
m 3441 28774
m 8798 4070
m 25974 20045
m 17144 18715
m 22966 814
m 22725 6182
m 9574 11035
m 5969 11922
m 6659 24859
m 10148 23360
m 4420 9748
m 26506 8445
m 21726 11440
m 29747 17020
m 8117 2559
m 29040 27719
m 3955 5452
m 19942 2237
m 8799 2411
m 6932 15892
m 29115 3093
m 26185 14707
m 7733 11748
m 9019 16773
m 27464 13989
m 20190 28235
m 24596 22090
m 25053 16332
m 32314 2442
m 25497 25197
m 5073 13301
m 31388 24831
m 8553 29192
m 16501 26690
m 14709 10372
m 15062 13282
m 25373 27763
m 12817 22470
m 26595 23244
m 11009 26919
m 10380 9983
