A 10 B 10 C 7000 D 10000
<<<<<<< HEAD
n 15670 17242
n 2475 3473
n 15071 26201
n 10212 21877
n 8111 5344
n 12119 18302
n 3183 16889
n 4928 28396
n 25208 19476
n 7072 23577
m 5255 24531
m 3180 26968
m 5827 12180
m 15848 5801
m 21339 1913
m 13426 26881
m 22176 19200
m 27391 15599
m 12518 4151
m 30960 14027
=======
n 22131 8913
n 9938 4095
n 11499 24577
n 10534 2264
n 17474 3916
n 22652 21277
n 27714 17860
n 1146 11338
n 18368 19120
n 27161 4774
m 18309 3240
m 19717 29577
m 12316 19662
m 25873 29875
m 863 21877
m 17188 7277
m 6393 13010
m 22892 13900
m 22143 26114
m 17042 27339
>>>>>>> ce7dc34 (plot e problema do solver otimo)
