A 10 B 10 C 7000 D 10000
<<<<<<< HEAD
n 31679 18068
n 8373 28632
n 12580 29589
n 31902 2569
n 31834 27871
n 9533 16863
n 417 20730
n 1451 24807
n 541 21944
n 8563 29778
m 5767 13781
m 7635 29099
m 21869 7603
m 24871 18395
m 31476 13335
m 28158 6134
m 10495 20893
m 23665 21259
m 21847 9090
m 29061 28449
=======
n 29656 18132
n 11228 26890
n 7453 17185
n 6573 18158
n 14735 14767
n 13942 9538
n 15894 14605
n 5136 8847
n 21769 8718
n 20052 23532
m 583 16602
m 29784 12791
m 24392 559
m 30472 1114
m 13026 9617
m 13514 16162
m 18117 9362
m 17791 18845
m 29519 22958
m 29589 24471
>>>>>>> ce7dc34 (plot e problema do solver otimo)
