A 10 B 10 C 7000 D 10000
<<<<<<< HEAD
n 5732 19443
n 29260 28638
n 19310 29693
n 27358 28371
n 3995 21211
n 4983 23376
n 17180 21236
n 21053 29785
n 337 9186
n 11251 11813
m 4161 19616
m 2971 8445
m 12481 22291
m 4660 15991
m 2954 26752
m 13658 17268
m 16783 2697
m 9184 1273
m 11074 18
m 22290 11801
=======
n 19627 7707
n 15823 9174
n 17966 18584
n 6154 10835
n 11646 2719
n 29674 6758
n 11638 27518
n 20323 5181
n 9441 12262
n 22309 4971
m 28512 7972
m 9599 15718
m 32442 5530
m 18132 4210
m 3523 15112
m 5234 22322
m 26028 6326
m 22374 17169
m 16965 16124
m 20352 28624
>>>>>>> ce7dc34 (plot e problema do solver otimo)
