A 10 B 10 C 7000 D 10000
<<<<<<< HEAD
n 25351 22779
n 194 12014
n 2594 14037
n 4345 13861
n 32688 17324
n 1509 22233
n 6623 16026
n 10147 11210
n 4980 29771
n 6405 20600
m 24289 21868
m 24271 13015
m 31553 23630
m 32501 18483
m 32784 24743
m 18221 27160
m 12054 28589
m 25800 9356
m 29585 22912
m 1023 8885
=======
n 19768 2988
n 18100 6946
n 5357 9533
n 20879 14481
n 15801 21266
n 10096 12280
n 326 16095
n 3181 8347
n 24485 68
n 5245 29293
m 14901 6021
m 21069 4272
m 329 17620
m 22213 10590
m 23988 21050
m 3373 25516
m 27393 22769
m 30107 27390
m 4522 21782
m 16209 18178
>>>>>>> ce7dc34 (plot e problema do solver otimo)
