A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
n 12144 8227
n 21261 19615
n 7931 18183
n 9667 25556
n 13376 11883
n 18776 29222
n 24753 29867
n 24787 4414
n 7648 20692
n 29875 19512
n 9017 20731
n 32975 24281
n 10510 27933
n 31401 2452
n 15641 3688
n 15895 11631
n 19533 11214
n 2856 26360
n 31728 4725
n 743 13314
n 28692 9539
n 23605 22047
n 31930 4354
n 7511 2533
n 21850 15649
n 14788 23423
n 25514 16256
n 5254 22978
n 6649 29822
n 29018 15953
n 19028 17589
n 27357 23867
n 9761 10115
n 11644 26674
n 30600 22989
n 21927 28859
n 19252 19381
n 26836 2643
n 18096 7281
n 7422 16736
n 13591 24189
n 21349 29372
n 15604 20296
n 3010 7789
n 25311 13443
n 17415 8288
n 24499 17332
n 9033 22958
n 1258 28712
n 14050 22698
n 30994 4774
n 9125 16501
n 26289 9804
n 9804 564
n 24064 1392
n 15103 13071
n 23857 4488
n 6622 4505
n 7464 22147
n 16658 21864
n 31336 23029
n 26479 265
n 10891 7069
n 11709 2096
n 11701 14100
n 19200 1660
n 8042 18683
n 9156 15193
n 28504 19279
n 26199 25661
n 8870 9882
n 18442 19753
n 14981 10834
n 28826 18881
n 9905 26898
n 24376 21781
n 17853 22572
n 24884 24670
n 20572 9480
n 6371 20249
n 23677 4991
n 21712 26653
n 20357 18826
n 7863 7435
n 18238 5238
n 3014 25548
n 8973 12730
n 4332 1744
n 27531 10590
n 10060 15536
n 11507 2838
n 32209 15038
n 29332 13931
n 22401 532
n 26230 2488
n 8205 6126
n 13479 1692
n 16782 14446
n 9892 26208
n 18948 27093
m 31596 19383
m 30728 1567
m 22046 7566
m 32701 13430
m 18950 11581
m 22611 26074
m 23858 16665
m 28087 25731
m 32969 10257
m 14371 7347
m 13742 19302
m 11971 783
m 25044 3301
m 20837 9829
m 26208 3855
m 20538 8874
m 31393 22123
m 2150 9871
m 31138 13740
m 8806 24082
m 17860 10369
m 20725 18475
m 2100 2625
m 10217 29159
m 29726 12742
m 29797 14221
m 28092 12787
m 32267 7880
m 13297 3875
m 25267 14632
m 22727 11357
m 22592 9401
m 18663 13333
m 13949 1070
m 32564 24762
m 19563 5257
m 19395 10644
m 8510 20501
m 24556 15679
m 24581 19246
m 20429 7886
m 1830 27068
m 22576 28809
m 11893 5563
m 29807 4679
m 11695 4646
m 190 2131
m 5302 8668
m 22186 18386
m 2775 1539
m 16900 27624
m 15293 27406
m 12410 10345
m 12064 11910
m 1694 1161
m 6956 15084
m 1976 468
m 10136 5146
m 26100 8728
m 10738 21733
m 2392 8990
m 11615 21354
m 11221 12527
m 18190 12337
m 1355 13786
m 24100 8578
m 31903 29494
m 72 25370
m 25311 17348
m 27103 20974
m 17202 17225
m 24717 24526
m 28290 29260
m 31932 25426
m 3510 23318
m 13485 4277
m 10555 6174
m 27747 12769
m 12085 10270
m 24189 12871
m 12889 7393
m 19506 22232
m 18387 9186
m 3335 8996
m 1668 2247
m 23436 8476
m 10735 9146
m 16694 13054
m 11793 5992
m 10148 22988
m 15887 13169
m 9471 9718
m 18678 25484
m 13169 20198
m 30312 15327
m 32760 9341
m 22701 15274
m 15956 7033
m 29658 22259
m 14109 3113
=======
n 6038 12317
n 32196 11341
n 16023 9686
n 23800 11614
n 14960 11290
n 22868 14019
n 25992 18913
n 6541 24679
n 5043 14879
n 21543 10889
n 31938 8268
n 19718 4618
n 11486 137
n 21505 10191
n 4349 11909
n 32471 3765
n 11495 6944
n 9630 25602
n 10720 7258
n 7924 6882
n 13959 4722
n 3803 27403
n 5581 25437
n 32115 2602
n 26627 9780
n 25055 16770
n 29047 13435
n 410 11876
n 17708 5135
n 3893 6257
n 4474 24060
n 6478 877
n 7743 27475
n 24480 9564
n 17881 17681
n 25978 11173
n 11985 1333
n 25608 12116
n 12400 12247
n 29128 27987
n 30669 17086
n 2529 29370
n 8861 16903
n 26405 29654
n 21735 21493
n 7019 19271
n 8253 3997
n 26597 2636
n 15216 16148
n 7612 3933
n 23318 25167
n 22262 17169
n 3171 25460
n 18840 25276
n 10717 26564
n 9036 18166
n 11143 1190
n 22463 7920
n 30902 9326
n 10313 7662
n 23851 28464
n 25990 28955
n 4958 21793
n 6945 20097
n 12784 4257
n 28304 7956
n 24513 7483
n 15115 14288
n 28014 353
n 17092 12600
n 16978 20987
n 10465 9467
n 14396 1186
n 5259 16852
n 30749 26454
n 13835 20146
n 31930 2636
n 18649 20467
n 30267 26400
n 12981 29103
n 30316 1317
n 8515 11926
n 7214 24236
n 29651 8736
n 12422 20456
n 13035 7147
n 18987 18387
n 24182 2881
n 15883 10056
n 19593 19721
n 20352 18642
n 30733 19730
n 17882 18115
n 15255 28175
n 2836 7149
n 20367 190
n 7317 21931
n 11231 22269
n 16545 21289
n 11177 19381
m 14755 14760
m 411 22442
m 25227 19723
m 29241 10472
m 26918 6230
m 10801 16055
m 27398 11158
m 28211 16203
m 834 10243
m 1905 21693
m 16725 27453
m 5867 3103
m 8964 28728
m 8982 14719
m 7032 10032
m 2971 27867
m 9624 10068
m 22139 1450
m 26151 12755
m 1771 26812
m 10315 10530
m 4642 9193
m 6854 8457
m 27460 1857
m 4483 12098
m 8946 16294
m 7501 4708
m 855 10902
m 16629 16812
m 26524 22664
m 7588 26731
m 12674 2935
m 13275 240
m 6201 5418
m 20363 2060
m 32292 21901
m 22832 17850
m 286 3311
m 3356 12381
m 2564 29227
m 5785 21482
m 23358 18425
m 15205 24527
m 13026 25574
m 14497 27906
m 23160 24912
m 7534 18481
m 31230 4831
m 92 508
m 4927 2059
m 18213 2454
m 1692 13184
m 26418 24258
m 3325 12645
m 273 12534
m 22726 27660
m 14710 22090
m 6209 9664
m 11693 22921
m 7795 10390
m 20421 24664
m 22173 19525
m 23622 4467
m 23451 11658
m 12845 18548
m 26412 13009
m 2345 19335
m 18483 24563
m 14010 2018
m 8115 27086
m 14989 14262
m 31953 4255
m 11493 17673
m 2731 14538
m 8627 28151
m 8173 27124
m 30316 17845
m 15456 6180
m 20288 8520
m 32653 13301
m 9619 5750
m 23497 2846
m 30090 6616
m 14390 14590
m 21080 2666
m 13319 3712
m 4058 8040
m 32388 7837
m 25609 3678
m 14104 13879
m 1430 29072
m 32813 14799
m 32754 17237
m 734 15892
m 14600 4210
m 2092 23366
m 28204 1235
m 15840 28815
m 27887 23502
m 20727 17570
>>>>>>> ce7dc34 (plot e problema do solver otimo)
