A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
n 23642 11192
n 31793 12495
n 16686 5639
n 26137 13607
n 15200 20349
n 17847 21541
n 1059 16533
n 4763 23473
n 23789 23621
n 29444 10407
n 13694 18910
n 30769 17003
n 20364 17918
n 23637 5106
n 6430 25871
n 10020 25858
n 11479 24469
n 77 14944
n 5994 2533
n 9962 1832
n 8870 25076
n 18970 22683
n 6540 6784
n 31777 15991
n 10956 20539
n 27240 21531
n 7156 4662
n 4488 7778
n 32290 27588
n 5840 4150
n 13434 24702
n 25692 21068
n 19790 26550
n 19166 7596
n 18709 7461
n 8881 27474
n 26213 4418
n 9755 10598
n 6242 14079
n 14856 17777
n 6659 21496
n 6721 11548
n 16405 7183
n 21993 28011
n 7789 23216
n 27360 5622
n 24355 24858
n 649 7696
n 4532 7921
n 28114 14848
n 14016 15071
n 7605 3849
n 26932 14066
n 21436 20574
n 11051 21624
n 10535 17017
n 2504 5188
n 16894 19383
n 25406 1472
n 16846 28620
n 7558 19347
n 2840 3289
n 13108 28542
n 5658 1067
n 26962 21128
n 11 14307
n 17019 14726
n 19676 27875
n 2613 11911
n 11863 8137
n 8776 4912
n 11987 26373
n 25997 24392
n 18749 11498
n 32391 29480
n 2923 14276
n 25182 28698
n 28513 2004
n 1613 25939
n 26688 29149
n 23449 7060
n 11995 6544
n 14497 13784
n 9236 8100
n 4597 2709
n 28666 8916
n 10745 9860
n 15961 29683
n 11413 15286
n 23641 27041
n 4884 20839
n 5278 19327
n 9145 25826
n 32849 22823
n 433 21473
n 6348 16558
n 23977 15130
n 6962 1278
n 16702 1370
n 18619 22435
m 3098 9096
m 7879 6815
m 25173 18914
m 21550 5115
m 24444 15408
m 14750 2496
m 12578 6048
m 8978 1643
m 13018 12884
m 8248 14966
m 702 10605
m 28090 26640
m 10896 1746
m 8036 2239
m 20837 8112
m 12589 24845
m 26833 5653
m 20494 24184
m 30486 12912
m 16833 1366
m 28526 8065
m 14119 557
m 939 8797
m 4807 19478
m 29522 28767
m 17602 24193
m 9319 436
m 2427 21608
m 17342 13173
m 30543 3919
m 15825 6959
m 2072 12502
m 7740 20705
m 21905 27718
m 29271 13899
m 24085 25737
m 22683 2196
m 8893 474
m 29490 1830
m 21985 27794
m 29334 23579
m 17612 423
m 30184 15100
m 19771 15534
m 6745 2480
m 27377 28505
m 25329 26224
m 12454 2767
m 18044 26965
m 24811 23539
m 1888 11270
m 23133 15148
m 3353 24601
m 16434 2127
m 3250 22079
m 13821 18958
m 28339 18239
m 30630 3157
m 16622 28210
m 32727 23101
m 29885 11725
m 16576 23994
m 19120 3685
m 15760 18146
m 20393 22933
m 26048 22066
m 25098 12612
m 1792 29713
m 28220 1297
m 25721 2389
m 24858 1524
m 30498 22430
m 19171 272
m 1476 8287
m 3900 1305
m 20135 15606
m 10412 15248
m 5588 27238
m 22833 27804
m 25558 21990
m 8512 18617
m 29280 29763
m 17699 1013
m 32788 5972
m 20478 28815
m 2469 25636
m 25775 13991
m 16522 19818
m 6191 29092
m 28756 16025
m 31091 3196
m 32213 17196
m 12420 9390
m 25113 15122
m 1563 23105
m 3566 9492
m 27849 10545
m 19730 441
m 29935 27061
m 13356 27975
=======
n 8422 9329
n 4401 1964
n 19265 24344
n 2280 15259
n 3489 16162
n 13458 7828
n 14237 18122
n 22530 22189
n 2810 17617
n 12072 5272
n 9322 6644
n 189 8349
n 30464 6217
n 11014 9329
n 726 21472
n 32926 12617
n 20125 27190
n 19380 5589
n 29868 9209
n 16612 25751
n 288 10386
n 16715 17185
n 30908 23057
n 9650 28023
n 2899 29095
n 5140 17774
n 479 25936
n 23552 27725
n 2934 22157
n 12592 17395
n 10900 12548
n 3600 20917
n 24587 22754
n 26092 19101
n 19941 3017
n 1955 13746
n 22176 14940
n 24774 5173
n 25156 6432
n 30753 11678
n 14677 5071
n 14069 16827
n 32770 12322
n 19457 10751
n 20755 23430
n 24779 11617
n 241 25609
n 16384 29266
n 21072 21816
n 8759 20031
n 31983 12305
n 17066 1614
n 13092 24189
n 7715 10398
n 19116 14169
n 23709 29944
n 28645 28769
n 30004 20356
n 30617 1416
n 15308 27954
n 23806 28884
n 25017 17805
n 15428 19264
n 24642 10240
n 31643 27713
n 24505 2560
n 27046 17077
n 28615 26403
n 28638 17327
n 23284 17635
n 15282 27846
n 1434 11714
n 23211 18175
n 29043 11725
n 18454 14907
n 28797 27308
n 25448 28449
n 20509 16132
n 5870 1211
n 15130 7632
n 5243 27304
n 7382 16076
n 8181 23037
n 25706 20821
n 3953 28301
n 30566 23764
n 4238 1557
n 1180 1558
n 20521 12564
n 17840 18435
n 31168 22309
n 7903 11856
n 8153 6473
n 27813 28987
n 25383 9956
n 28251 26665
n 31953 8337
n 5708 26807
n 32259 12942
n 30568 4275
m 1932 2547
m 26141 25730
m 18497 22054
m 1085 15953
m 4291 3103
m 22641 7891
m 2114 12947
m 18329 23565
m 9683 4529
m 21689 2116
m 13126 10626
m 6450 3701
m 31304 29402
m 13061 10192
m 2980 21599
m 28653 21267
m 31654 15057
m 18125 8439
m 11174 22882
m 11909 28206
m 22320 18655
m 28864 29985
m 17673 8684
m 25150 5286
m 29598 17888
m 5457 17065
m 8504 13967
m 25134 12751
m 32673 28965
m 26867 21836
m 13470 4699
m 17664 21296
m 23071 23707
m 31238 7780
m 31874 968
m 31051 3323
m 20692 23046
m 24109 23310
m 18065 22788
m 8453 20459
m 32764 22085
m 23909 14124
m 19636 18341
m 25753 10226
m 30013 2143
m 19070 19500
m 21533 19241
m 22638 14169
m 6851 11628
m 23 1829
m 14731 22481
m 26985 27689
m 1189 8062
m 749 26061
m 24507 28397
m 8025 8175
m 6292 12491
m 1015 18280
m 21509 15943
m 5090 23020
m 2583 13740
m 10449 20228
m 2279 15946
m 21190 8581
m 4451 24959
m 18437 22671
m 20884 22809
m 5837 25313
m 10359 19927
m 23000 28080
m 26282 29133
m 27557 7943
m 31905 7995
m 26263 5041
m 11144 22880
m 10266 4726
m 17219 15549
m 6787 28918
m 22028 12033
m 30644 11904
m 18033 1903
m 13946 21605
m 12037 25176
m 23795 5973
m 11472 1213
m 25393 25590
m 20516 21230
m 19639 3676
m 25875 22732
m 22477 9052
m 30663 12252
m 53 14411
m 26121 8236
m 22681 13394
m 1105 8308
m 23117 11746
m 27425 24142
m 5035 28980
