A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
n 16874 708
n 4802 29538
n 6859 6332
n 16533 19361
n 4186 23147
n 28743 728
n 16342 4874
n 7715 20916
n 28920 569
n 6704 20838
n 29319 14137
n 29943 14195
n 17787 11007
n 28667 17703
n 12979 6960
n 28381 9787
n 16445 18125
n 32768 3152
n 7091 9606
n 10800 24570
n 6220 2319
n 31375 25542
n 18927 8397
n 6102 29128
n 18926 20280
n 15340 14910
n 18723 16668
n 12664 9613
n 29233 21876
n 32876 29636
n 1217 24276
n 14228 21457
n 8267 4500
n 12061 25613
n 18604 21135
n 27685 8237
n 21630 21083
n 11956 12761
n 13346 3197
n 25830 9954
n 30326 5690
n 25176 22791
n 21601 8172
n 9106 23013
n 7511 4110
n 30736 22034
n 16287 3032
n 12692 12338
n 10139 28782
n 17473 18662
n 11407 10781
n 26728 18210
n 4363 25533
n 10078 26042
n 11553 7876
n 31665 6720
n 19089 16509
n 26939 24746
n 27906 22702
n 18512 13474
n 10661 27455
n 21309 11872
n 28264 3462
n 21887 24457
n 23696 19333
n 22564 2137
n 4505 8058
n 430 27333
n 26855 6298
n 18487 1724
n 10499 8424
n 23503 3090
n 23500 11915
n 12606 25447
n 20582 26141
n 28448 7786
n 30735 7883
n 27796 14909
n 4311 11934
n 29242 4964
n 9740 16856
n 14293 29545
n 20829 16185
n 26122 5272
n 6570 4999
n 20132 29167
n 15073 4752
n 11229 295
n 11328 24453
n 15808 27868
n 15844 936
n 20642 27054
n 20019 13821
n 15392 7103
n 5628 14462
n 15472 10663
n 6865 27117
n 15187 6862
n 2394 1843
n 32752 1841
m 24403 4113
m 8171 10645
m 180 12457
m 3428 7329
m 15833 19999
m 12779 7101
m 14983 7166
m 14955 18973
m 28096 26097
m 26351 1698
m 29828 561
m 9824 13204
m 3340 19633
m 20382 2084
m 2811 23362
m 7264 5015
m 28631 28289
m 18876 359
m 17819 16803
m 27414 18721
m 2139 22135
m 11996 19758
m 3163 5247
m 9970 13330
m 358 14180
m 14144 1552
m 23343 11520
m 30805 1562
m 12814 1955
m 28446 14759
m 25262 13375
m 11033 18462
m 14468 5367
m 11212 16696
m 22492 4620
m 29835 15072
m 22610 3089
m 10480 4256
m 9618 13844
m 5524 38
m 7759 24860
m 7833 28591
m 4476 12398
m 32690 16800
m 15601 22540
m 21573 2709
m 3156 28307
m 25900 28990
m 31432 13491
m 7544 17554
m 12427 2927
m 2673 9685
m 6896 23892
m 4798 17088
m 32555 21049
m 25721 29807
m 29046 5566
m 9347 24881
m 27887 7814
m 749 24427
m 10050 18074
m 32799 18164
m 7436 5547
m 16360 17807
m 23215 9629
m 10427 7279
m 27278 6396
m 22856 18929
m 29116 21496
m 21924 15672
m 5039 28382
m 9698 16173
m 28144 10201
m 18814 14507
m 28915 19116
m 11492 19484
m 5985 8037
m 19005 17216
m 10591 3787
m 21509 20408
m 27489 12730
m 25888 29679
m 4344 28607
m 30060 18540
m 1859 17373
m 32639 12091
m 607 304
m 3844 29231
m 11056 17722
m 3481 13830
m 18878 25303
m 12075 2896
m 29061 28630
m 20774 29581
m 7474 18854
m 11105 3136
m 16740 26849
m 18262 3826
m 18197 27604
m 14448 12107
=======
n 7226 27775
n 17244 24
n 29573 26237
n 21942 3119
n 29275 22211
n 20657 25877
n 30452 17184
n 18305 13559
n 1961 9473
n 23415 3872
n 3522 12538
n 21089 13856
n 6652 28266
n 29509 20810
n 8050 10251
n 6443 15645
n 18872 19971
n 27815 25196
n 26921 10177
n 1167 16546
n 10031 9579
n 19950 18018
n 17442 24842
n 27363 14211
n 6609 16334
n 28242 19008
n 19585 8248
n 18027 25380
n 29744 1822
n 2637 9481
n 24134 26172
n 231 17274
n 32359 4278
n 24497 18935
n 192 9190
n 18536 24331
n 26444 4314
n 30455 4806
n 10829 15354
n 6205 24686
n 20066 8485
n 16393 27473
n 8628 27207
n 7202 11016
n 11919 9978
n 23953 19185
n 21494 23868
n 29094 19091
n 26594 10812
n 4815 29325
n 7382 16510
n 22465 6985
n 27473 17987
n 29378 11702
n 8855 17874
n 11470 17480
n 29724 8356
n 1390 17206
n 2744 22501
n 24518 28354
n 29323 5676
n 7377 21079
n 7630 13979
n 31376 26822
n 3333 5806
n 28211 25787
n 1619 26416
n 6098 17356
n 14150 20608
n 26264 25226
n 10050 16718
n 18000 21455
n 10630 23285
n 12802 23378
n 821 8816
n 17153 22405
n 19749 18742
n 21399 26946
n 28570 949
n 14522 20932
n 12440 26812
n 2585 7390
n 29450 16058
n 29364 1764
n 30162 29059
n 5645 29152
n 29748 23138
n 29423 14522
n 17883 19354
n 22569 700
n 11173 15081
n 11946 19680
n 24098 28332
n 28945 26208
n 24973 20615
n 28550 12336
n 12115 10167
n 6436 14597
n 9208 24476
n 26975 18373
m 5275 14354
m 13671 3890
m 9774 3792
m 13499 6761
m 32803 4402
m 24404 29381
m 6581 18470
m 8740 17081
m 20246 12695
m 296 4928
m 301 25608
m 1264 13943
m 16321 20947
m 28528 387
m 26539 14525
m 30095 16177
m 16679 16775
m 27205 13590
m 27086 28930
m 16208 10806
m 27950 11956
m 30138 18700
m 17040 1069
m 10901 10778
m 685 25551
m 31303 22570
m 15921 17785
m 15481 15055
m 18762 2331
m 14397 14136
m 18264 14218
m 32620 11745
m 27160 18689
m 32389 9163
m 9593 27882
m 22718 17200
m 5398 10446
m 22878 1203
m 3812 9779
m 13665 23054
m 926 20684
m 10323 20283
m 4357 22617
m 27007 28254
m 5583 5767
m 20856 2339
m 27016 29249
m 4953 27271
m 20839 21177
m 27528 17959
m 28235 5487
m 30796 7924
m 15980 20775
m 26737 9471
m 16913 12780
m 19376 2920
m 31368 23716
m 12393 13828
m 1201 17685
m 16112 9744
m 7331 3516
m 2419 28436
m 22544 7491
m 16837 25308
m 16595 3792
m 1922 27466
m 24935 21948
m 13275 24203
m 12749 22158
m 19878 17935
m 2708 1020
m 5184 6793
m 28588 17744
m 31659 19250
m 11976 116
m 18731 24207
m 1070 15797
m 17949 490
m 17419 22368
m 16294 17253
m 30034 11552
m 30922 16276
m 28596 11813
m 15997 302
m 23449 18974
m 26463 17757
m 25584 29496
m 26308 10366
m 24356 27313
m 25675 19982
m 30945 17392
m 15361 20668
m 17457 20338
m 14692 8203
m 19528 19706
m 31410 5893
m 10430 26297
m 22597 11850
m 31310 14480
m 32747 9508
>>>>>>> ce7dc34 (plot e problema do solver otimo)
