A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
n 4847 23332
n 12538 29051
n 16438 27182
n 31244 9083
n 31533 22718
n 19173 12098
n 10211 758
n 18260 7253
n 21938 29452
n 21135 15402
n 26253 5705
n 26692 10731
n 23821 29033
n 3458 25719
n 10841 23848
n 24839 24006
n 1376 23596
n 19935 15958
n 3916 9851
n 120 7463
n 29689 13265
n 4047 23176
n 24081 12186
n 521 25374
n 8063 6456
n 23278 21439
n 24417 13218
n 31470 13901
n 12326 18896
n 24673 15345
n 470 4417
n 16113 27160
n 23466 3665
n 7982 13293
n 80 689
n 22481 17883
n 20042 17274
n 20979 17096
n 9010 3948
n 22501 12264
n 20699 1895
n 9710 28828
n 30091 10888
n 17548 22900
n 27588 25564
n 6149 11259
n 5712 19085
n 29560 12953
n 17464 8967
n 11065 20019
n 16302 16190
n 2557 23066
n 438 2974
n 12693 6983
n 13397 25165
n 19193 1863
n 24020 8763
n 25129 9019
n 31311 19263
n 14881 21613
n 29392 23702
n 14871 6369
n 19359 21487
n 5754 21012
n 22977 8986
n 24156 396
n 30406 17913
n 18733 11956
n 19309 20569
n 24713 5732
n 14038 14760
n 23177 6726
n 10840 4957
n 7052 29999
n 28380 3571
n 2782 14986
n 14227 9850
n 25372 18749
n 19433 6233
n 30070 15297
n 3921 5926
n 23820 17983
n 32683 7862
n 22266 22248
n 16101 284
n 22903 10714
n 13793 5098
n 6207 15961
n 18092 11107
n 21106 7640
n 15189 5405
n 31941 9374
n 15916 4731
n 5391 3994
n 22084 27320
n 25429 9449
n 14105 6411
n 284 28144
n 28074 4227
n 26822 23326
m 25375 25691
m 24920 17494
m 14891 28818
m 19686 6537
m 26252 19856
m 7326 12876
m 28604 9096
m 6453 22128
m 13392 28760
m 21816 20842
m 28593 24168
m 31160 8513
m 22895 3426
m 634 9870
m 10456 18759
m 3789 23252
m 30856 25029
m 4524 8839
m 9004 25884
m 3185 26774
m 996 4360
m 4629 5553
m 15086 7632
m 5619 3283
m 14453 3236
m 7844 19141
m 4881 18485
m 8733 8679
m 16569 5897
m 31532 15246
m 11184 24092
m 24641 18887
m 21137 12201
m 32683 25680
m 8279 27028
m 902 19696
m 10117 1264
m 2841 16205
m 28054 7600
m 28615 12732
m 25539 8391
m 24489 15890
m 21720 14203
m 9093 1636
m 8821 2939
m 27814 25652
m 9145 12343
m 22973 19394
m 25513 23289
m 17925 4436
m 10085 13351
m 4201 22383
m 17065 5922
m 14755 29064
m 10665 1895
m 29664 22810
m 10115 13018
m 14311 5030
m 21447 16052
m 10679 10840
m 26440 26202
m 17195 17447
m 25682 333
m 31765 2836
m 652 3525
m 19889 5802
m 7589 26311
m 18420 27870
m 4961 13828
m 31944 27345
m 23162 27008
m 17364 9455
m 32049 6106
m 726 17599
m 28198 4058
m 9919 21933
m 14317 22765
m 30810 6089
m 9138 29063
m 29209 2716
m 16575 3115
m 16291 21406
m 26326 5559
