A 10 B 10 C 7000 D 10000
<<<<<<< HEAD
n 30079 21293
n 17770 6299
n 28303 12346
n 25414 19317
n 21377 6210
n 9498 19943
n 19618 16041
n 8279 16144
n 130 4864
n 5533 2409
m 21366 15981
m 11925 18018
m 11270 235
m 7901 224
m 18213 18649
m 31654 14614
m 31188 29305
m 5850 14975
m 19433 2192
m 4255 16855
=======
n 1821 22633
n 31818 7410
n 19247 13231
n 7239 2366
n 30364 20347
n 5954 7848
n 13554 16088
n 24344 6637
n 12685 4547
n 17587 19286
m 24489 21527
m 2876 286
m 16045 24612
m 31940 18452
m 25482 2825
m 15301 14562
m 20944 20177
m 19091 24305
m 291 25563
m 32580 4938
>>>>>>> ce7dc34 (plot e problema do solver otimo)
