A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
n 27908 22007
n 15891 10446
n 7824 5485
n 27178 10973
n 4121 1994
n 1363 7547
n 28215 11066
n 21378 8804
n 6009 28645
n 28875 25410
n 5770 14034
n 16503 14769
n 5615 10823
n 18274 9564
n 11563 16291
n 19216 11180
n 30937 24192
n 14821 24690
n 12192 5547
n 29114 19168
n 32245 6976
n 32861 12307
n 14575 6031
n 31834 9908
n 4620 24633
n 14071 16454
n 21850 29694
n 32762 14166
n 18480 7965
n 25624 18575
n 11656 25865
n 9021 9627
n 22186 27152
n 32679 24144
n 13350 3557
n 25151 3931
n 18837 29450
n 22710 17915
n 7901 16739
n 30194 7239
n 26190 14215
n 3706 19395
n 23563 9462
n 9967 14157
n 21444 432
n 9085 18217
n 22576 9241
n 20158 23657
n 1185 7867
n 1711 18219
n 13381 11949
n 21946 6175
n 8359 28899
n 16331 11519
n 8978 8728
n 3620 16699
n 24526 9960
n 23812 12415
n 25769 3125
n 4876 1393
n 14618 17779
n 23726 24187
n 6311 25152
n 26186 9025
n 7750 8936
n 17843 21930
n 11401 11776
n 2463 25938
n 6289 29897
n 31965 7648
n 27243 21922
n 14832 756
n 11339 26855
n 24818 24241
n 14117 29398
n 15920 12487
n 22894 16018
n 10776 21107
n 23496 19420
n 25811 353
n 25733 2273
n 3089 27836
n 1792 14925
n 6016 14264
n 32114 7212
n 22358 24457
n 30741 14906
n 24011 17736
n 31750 12786
n 2180 22273
n 18937 798
n 1488 2943
n 24344 19029
n 11054 10397
n 14543 15318
n 32668 18991
n 5214 27343
n 16477 11064
n 30053 24162
n 6656 29950
m 206 13245
m 30793 7701
m 357 16718
m 14120 4731
m 16911 29430
m 2550 4369
m 20489 28133
m 25137 28821
m 22857 918
m 589 7255
m 27055 2607
m 10393 6112
m 32354 1895
m 26062 3966
m 10987 18711
m 12541 16782
m 11264 11965
m 17822 16269
m 13915 27163
m 22806 20354
m 27075 7496
m 1076 13358
m 14305 16945
m 26812 20100
m 872 2807
m 14804 11996
m 1212 14117
m 1503 9845
m 28631 27150
m 5408 19228
m 17292 16298
m 32847 19244
m 9420 21768
m 25296 11372
m 26619 3469
m 3561 2411
m 1049 5640
m 32979 25574
m 7482 26565
m 2410 14532
m 25393 6977
m 6438 21630
m 4790 16214
m 25470 7386
m 1141 1083
m 17208 23484
m 16665 15137
m 7465 28278
m 32001 8466
m 19002 26505
m 2487 11805
m 10827 14782
m 367 28892
m 15218 2629
m 23342 2921
m 12688 25854
m 1896 12497
m 9345 21637
m 10308 20809
m 437 26019
m 14061 3826
m 5039 10238
m 1516 20770
m 1484 2381
m 11047 12852
m 9274 17759
m 3524 5390
m 20737 889
m 16362 3312
m 23566 19960
m 14274 1675
m 21727 5631
m 8531 12198
m 10066 25947
m 15899 20245
m 9488 14118
m 28979 3788
m 22902 29633
m 17179 8230
m 11876 25862
m 12801 9776
m 14656 5407
m 18700 24369
m 16177 20072
m 28678 15993
m 18164 1305
m 16950 25559
m 9988 27761
m 30660 3591
m 4692 8431
m 21907 800
m 29326 29811
m 16262 1730
m 19416 3233
m 11448 11990
m 15458 18626
