A 10 B 10 C 7000 D 10000
<<<<<<< HEAD
n 21552 10751
n 30619 6171
n 10480 21547
n 6492 27652
n 10232 19263
n 19780 24155
n 13847 21156
n 25158 23281
n 27542 28018
n 18261 15720
m 11301 13305
m 23866 2471
m 5748 29602
m 19932 26904
m 10605 15643
m 4421 12141
m 7078 22562
m 609 6111
m 20534 14680
m 11514 27428
=======
n 11124 22244
n 28026 15166
n 30564 12501
n 727 5203
n 2690 29785
n 3567 18908
n 26343 17466
n 26287 25139
n 30088 26353
n 1536 27422
m 24323 4775
m 6566 22046
m 5264 15147
m 2883 9703
m 5331 15385
m 30746 8655
m 24388 16615
m 513 6757
m 29609 808
m 13850 9854
>>>>>>> ce7dc34 (plot e problema do solver otimo)
