A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
n 20135 22289
n 9292 16163
n 9039 26270
n 21328 21460
n 8158 13049
n 5932 21405
n 22069 14427
n 30296 16943
n 8237 1911
n 29846 27447
n 2489 659
n 15033 16868
n 22688 7460
n 13245 29781
n 7014 13679
n 1842 11060
n 22159 2646
n 31216 10774
n 12997 16228
n 13030 7804
n 10715 26931
n 12317 25479
n 24628 28650
n 14569 6453
n 29033 5615
n 744 11271
n 24124 3503
n 4454 21100
n 3092 22445
n 6756 6925
n 12154 8423
n 6555 19841
n 25069 203
n 8116 28195
n 5743 53
n 29018 18582
n 23623 4748
n 4003 29080
n 27752 8147
n 29385 16188
n 9633 17341
n 9897 24385
n 11941 10328
n 30850 3428
n 5476 28252
n 28777 27289
n 25444 15299
n 9237 26180
n 19841 19057
n 168 15599
n 10028 23370
n 32157 10862
n 29832 6905
n 3563 11733
n 7155 23138
n 24274 24788
n 9944 2515
n 21175 14340
n 17489 2843
n 20463 25396
n 13831 2687
n 20910 25419
n 1811 28697
n 6334 2803
n 3859 26422
n 27095 12639
n 11898 5024
n 22634 5223
n 27225 6797
n 4009 27491
n 7253 10216
n 8878 20812
n 3338 4240
n 28227 14956
n 27911 1498
n 24503 18623
n 18279 16221
n 12814 8440
n 32413 22059
n 3850 3725
n 17932 18723
n 1509 9025
n 22444 27920
n 5320 27287
n 8412 172
n 31599 23982
n 12258 1132
n 1977 5720
n 10600 8585
n 31745 9764
n 12859 26054
n 9745 13305
n 474 12583
n 24503 10616
n 1273 19537
n 3652 3873
n 28279 29427
n 25896 1549
n 7912 3538
n 8967 3073
m 17462 19607
m 7015 20200
m 23786 27145
m 8280 20243
m 11505 10663
m 16268 14679
m 7037 22203
m 10605 11284
m 9961 21729
m 10496 9905
m 4695 8566
m 18502 18755
m 6063 26563
m 20517 14284
m 1317 3068
m 17780 23067
m 32013 387
m 3344 9705
m 27605 23464
m 19578 3932
m 26295 16069
m 11736 17271
m 22095 1402
m 26944 17999
m 20237 11766
m 4215 28920
m 27335 20813
m 25285 3506
m 15 22386
m 16466 5268
m 21572 25236
m 3189 10992
m 16309 21702
m 10492 15397
m 2934 6356
m 15181 16367
m 30053 2368
m 11584 8452
m 453 1291
m 23406 6500
m 6651 9757
m 10502 27393
m 21663 124
m 20390 7728
m 2156 28474
m 2299 28256
m 21698 7928
m 18818 11045
m 8219 21442
m 25512 27006
m 27492 17780
m 16427 2186
m 28992 28445
m 12878 25186
m 22707 22950
m 17531 24403
m 2687 21706
m 11518 14183
m 12694 3233
m 28756 9205
m 23580 24926
m 11474 9202
m 29539 11709
m 8546 19305
m 1585 27946
m 18651 27665
m 28155 3590
m 27021 29203
m 8679 4845
m 6151 16542
m 26588 85
m 7283 13883
m 27059 19714
m 19019 9586
m 27288 8969
m 27446 13028
m 24525 26615
m 2009 8222
m 23248 28146
m 15362 25248
m 17758 12865
m 10101 21857
m 15509 24991
m 7707 17580
m 6885 7968
m 26753 4872
m 25512 20085
m 27020 28833
m 3197 415
m 28947 18381
m 25716 8000
m 23815 19973
m 5512 12354
m 26978 3095
m 9215 6640
m 3930 2184
m 5920 7104
m 10390 28138
m 293 2848
m 11338 7108
=======
n 28496 22565
n 11713 7994
n 7391 1838
n 15532 28267
n 8682 22751
n 24710 13697
n 8620 11269
n 15759 5937
n 19719 23634
n 19566 12804
n 16736 29358
n 29785 23280
n 28019 22020
n 31598 25449
n 21240 28571
n 8555 18962
n 20070 22149
n 4648 21557
n 7067 24341
n 23731 4600
n 16621 19114
n 32897 24121
n 17438 19632
n 17732 6712
n 266 18500
n 10101 13337
n 5912 22635
