A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
n 12292 2827
n 7280 20851
n 10276 24403
n 16458 12381
n 9329 24251
n 10389 11757
n 11273 3732
n 13207 10780
n 25412 22467
n 20653 21278
n 19340 22182
n 16119 11732
n 17133 25926
n 31422 16338
n 21581 20580
n 29612 2840
n 27086 24865
n 28139 17900
n 26910 16008
n 29329 17582
n 25797 23762
n 24755 2551
n 11246 29698
n 8092 9232
n 16912 10154
n 28151 5881
n 7392 18975
n 25974 9770
n 19425 3281
n 29446 25067
n 7062 27719
n 10437 24162
n 21554 8207
n 10770 26300
n 19664 29894
n 3304 5683
n 10755 24946
n 9829 19028
n 20143 13340
n 23302 23934
n 10498 8119
n 7537 28860
n 27821 18986
n 22510 28515
n 30669 12415
n 2830 1272
n 29532 14940
n 29614 10102
n 2140 23439
n 14776 4591
n 29054 10812
n 12835 18394
n 15687 26546
n 31075 25104
n 12310 16725
n 15716 20970
n 48 19845
n 18644 24181
n 15786 24521
n 16150 4453
n 5156 17080
n 630 28846
n 11298 11637
n 4519 27585
n 16505 10066
n 30393 26667
n 14299 3466
n 21584 9135
n 14090 2302
n 18844 8512
n 20251 25913
n 28983 25729
n 23271 4830
n 11398 23739
n 14109 3165
n 7017 24198
n 24617 26345
n 32748 4337
n 31413 10649
n 32812 18739
n 3542 23018
n 6194 21950
n 32064 16291
n 32209 10208
n 10796 15025
n 4105 29336
n 14768 5269
n 10420 4185
n 4977 997
n 15566 684
n 3867 11606
n 17930 924
n 1074 21047
n 19480 4560
n 11528 7980
n 30823 19223
n 9986 7788
n 27886 6456
n 1794 15275
n 21194 22015
m 26906 16253
m 23697 7605
m 9919 4468
m 18790 11962
m 16763 11596
m 3540 3876
m 22817 14440
m 2723 12478
m 5856 11117
m 2194 10376
m 8299 1658
m 27217 8998
m 19677 2769
m 8137 11631
m 9269 13352
m 24612 28551
m 8203 10136
m 16085 16833
m 25448 19630
m 32896 17172
m 6151 29406
m 32422 26564
m 2616 12569
m 11434 7866
m 15667 21410
m 25922 22579
m 20037 19400
m 4164 18645
m 9558 16570
m 8770 20800
m 24997 27199
m 31299 21319
m 8783 1300
m 26436 4005
m 28323 28628
m 3988 11582
m 11785 13618
m 23334 25967
m 22788 25278
m 7885 12368
m 23395 17567
m 25338 21668
m 9753 2058
m 27889 25260
m 5092 6527
m 21231 23549
m 20125 16488
m 8618 24916
m 20225 14002
m 21555 29599
m 24714 11732
m 3655 1886
m 5555 5732
m 2525 11841
m 13772 9918
m 17275 18962
m 18323 17623
m 21625 4974
m 18045 14878
m 15249 22845
m 21092 23629
m 8369 6971
m 31532 18663
m 24935 6084
m 20433 28659
m 16763 520
m 18832 1536
m 26311 16839
m 30768 26757
m 19976 2275
m 5184 14948
m 3400 17914
m 22430 11539
m 24692 24254
m 7157 26845
m 12540 12288
m 12370 12170
m 562 9357
m 24453 9092
m 29883 9657
m 31966 9243
m 11625 7828
m 21599 20182
m 2491 3774
m 4765 8050
m 1210 18673
m 21426 9176
m 2571 12370
m 2617 28888
m 12041 16455
m 28548 27619
m 32674 9031
m 18740 10877
m 28476 6998
m 15423 14815
m 24295 20960
m 12701 17856
m 24515 6775
m 31486 18076
m 24026 16646
=======
n 1822 7307
n 4031 5210
n 21833 13958
n 2870 18269
n 12345 2859
n 7561 7063
n 8248 4607
n 26752 10771
n 14103 1735
n 20256 18726
n 18533 16796
n 19507 22597
n 13845 9176
n 1183 22246
n 4852 8796
n 9625 28978
n 18777 23595
n 5515 24950
n 1640 18734
n 8955 22319
n 28161 10102
n 29803 24040
n 3143 9457
n 2648 19260
n 28508 29122
n 12735 3478
n 25276 13857
n 30553 4254
n 12010 12144
n 29689 218
n 26449 8001
n 17392 3679
n 27914 10385
n 20951 24082
n 13822 20525
n 31860 26490
n 32649 3112
n 16278 11751
n 10432 590
n 3267 1823
n 27606 27202
n 5516 6104
n 6775 19927
n 12743 12954
n 9775 28494
n 26209 8899
n 24969 1174
n 22323 22539
n 14408 29378
n 6666 28367
n 16056 16391
n 10230 23786
n 8266 28930
n 16550 2620
n 10867 20198
n 4560 11959
n 19743 27217
n 7427 23209
n 4518 2045
n 2653 17642
n 26324 10765
n 21568 20427
n 18191 19641
n 23379 28011
n 4205 25895
n 16612 572
n 20322 20725
n 19893 19361
n 9630 5459
n 23658 8777
n 20473 8015
n 26722 9429
n 19877 17183
n 17018 20707
n 32762 16728
n 1003 22807
n 7884 23234
n 11989 3928
n 27563 16670
n 31782 28352
n 17558 2953
n 29044 13182
n 5820 10936
n 23520 23140
n 12788 5546
n 26466 5514
n 14810 17750
n 11335 18335
n 13455 15547
n 24721 25721
n 4524 15696
n 21776 26768
n 2586 9164
n 20296 21194
n 7574 24513
n 5341 7541
n 28048 22423
n 15070 13048
n 23789 21533
n 23468 700
m 13041 12090
m 24263 3258
m 9046 19584
m 22656 19294
m 27895 23021
m 24467 2983
m 18906 24240
m 3750 24859
m 10350 2912
m 10080 18133
m 13065 11123
m 12133 14350
m 17593 15449
m 30913 4924
m 28352 16492
m 21871 20537
m 15036 7000
m 6983 23704
m 10711 5070
m 21283 14173
m 5073 2239
m 890 22568
m 20846 5677
m 18024 1448
m 11771 261
m 3534 26722
m 14803 4354
m 12863 17305
m 4072 29062
m 13353 26583
m 13703 18881
m 13686 279
m 819 25373
m 3285 18286
m 3354 5611
m 13261 26921
m 4776 22748
m 25718 11960
m 25420 14930
m 13776 19649
m 16205 21663
m 18750 21597
m 8207 16611
m 19079 11698
m 28746 17188
m 17660 12121
m 5511 15064
m 382 1177
m 20993 52
m 32466 13804
m 5144 13849
m 7874 6612
m 21725 2966
m 3851 19332
m 13847 3625
m 1155 13716
m 19740 3690
m 6617 25731
m 11931 2255
m 27820 716
m 29890 3641
m 24145 3661
m 469 7974
m 11292 25819
m 698 24210
m 20154 13254
m 32261 9402
m 7055 14156
m 16250 4645
m 26951 14023
m 103 6436
m 22452 19747
m 20743 28320
m 16759 23870
m 21817 29534
m 4811 6466
m 29583 29506
m 4598 8017
m 1212 10131
m 12570 2535
m 7871 15915
m 22883 24815
m 21248 1421
m 24171 14818
m 8690 1066
m 5660 9817
m 10313 9272
m 8326 2211
m 6441 15231
m 9220 28065
m 5928 23933
m 5917 13471
m 5081 7025
m 518 17657
m 6024 10046
m 20465 23727
m 10403 713
m 3271 29259
m 28945 24817
m 20642 19548
>>>>>>> ce7dc34 (plot e problema do solver otimo)
