A 10 B 10 C 7000 D 10000
<<<<<<< HEAD
n 4612 21273
n 20447 16069
n 4335 20303
n 18517 10639
n 20445 18287
n 30582 11110
n 22824 10741
n 21708 9795
n 31042 15644
n 30275 22926
m 14367 21398
m 10388 9515
m 8731 4704
m 4137 18328
m 8076 7852
m 11913 24337
m 22240 16351
m 19096 19400
m 17907 3350
m 10088 12080
=======
n 3155 13211
n 29454 19209
n 31084 19272
n 16639 24736
n 10943 3957
n 27944 15322
n 23204 7058
n 7945 20442
n 29759 18578
n 513 27795
m 14781 15551
m 31750 16907
m 12469 24740
m 14841 10724
m 21332 12206
m 17156 16110
m 27274 4664
m 15003 21702
m 29741 28721
m 10108 28193
>>>>>>> ce7dc34 (plot e problema do solver otimo)
