A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
n 1372 5332
n 2607 18799
n 637 27603
n 16906 6818
n 19552 3882
n 3125 7813
n 12510 10915
n 9148 5799
n 9844 17443
n 30834 17642
n 19827 13975
n 23732 15101
n 31742 9362
n 14182 14107
n 16819 25190
n 19073 5915
n 29436 25916
n 32711 11956
n 31166 13526
n 30127 2405
n 24015 8214
n 13470 6016
n 24191 21447
n 29513 15228
n 14039 9460
n 24440 4704
n 29306 29567
n 3879 17704
n 29729 25445
n 20922 18186
n 7494 2401
n 23845 8814
n 32798 22149
n 15308 4557
n 28961 1533
n 5983 29164
n 8574 27623
n 4648 9028
n 3253 6162
n 28337 24436
n 19133 17642
n 92 20991
n 11930 28486
n 15111 25271
n 20282 16970
n 10449 28373
n 13120 10295
n 265 14388
n 13181 7686
n 5821 9169
n 9270 14535
n 19002 6473
n 22454 4623
n 27624 5574
n 734 5028
n 12517 5531
n 2076 16436
n 8009 17667
n 2225 20681
n 23576 1387
n 16685 10268
n 16163 9693
n 1534 12094
n 22421 5227
n 20843 6684
n 8121 3182
n 25992 2096
n 19031 21393
n 22533 8220
n 352 28809
n 12873 9905
n 12159 25640
n 17550 13624
n 9041 27287
n 11381 15961
n 28171 12597
n 3960 13455
n 10028 17072
n 12718 19566
n 22091 5321
n 13029 29080
n 21792 29881
n 4020 9382
n 3947 27274
n 711 13561
n 11984 23909
n 10392 28049
n 10392 21114
n 29559 7246
n 16766 21294
n 20182 29110
n 1520 14855
n 3067 520
n 12998 7471
n 14303 5880
n 22420 23721
n 30184 22447
n 11523 3126
n 19652 4441
n 32958 18670
m 19516 16197
m 18969 5710
m 18753 29327
m 1610 13516
m 29336 15294
m 7838 13828
m 15734 28962
m 23220 6522
m 1770 26137
m 17246 585
m 27461 12327
m 19752 13797
m 4744 493
m 12660 1030
m 29179 17052
m 19808 25411
m 14170 22258
m 29261 7535
m 20330 12495
m 2598 21214
m 32720 20900
m 27639 22325
m 1190 9585
m 5228 29139
m 17915 15494
m 21322 331
m 11020 20861
m 23023 10934
m 13651 16890
m 28299 10591
m 10586 4674
m 30749 359
m 19699 15112
m 4624 7687
m 28915 26055
m 18144 8785
m 25325 9350
m 30632 7490
m 14607 1918
m 10544 14483
m 24961 9413
m 8773 21596
m 24359 25258
m 14519 18264
m 28823 24059
m 20257 12545
m 29299 11228
m 18387 28637
m 27408 5147
m 4061 8195
m 23758 25131
m 29818 11695
m 30218 16840
m 24256 1650
m 27449 16734
m 13379 25733
m 30892 21987
m 6099 5370
m 28220 24874
m 2867 28263
m 8854 23512
m 6452 27448
m 29025 29052
m 6340 28064
m 16681 17290
m 20914 4701
m 30465 26135
m 10512 22223
m 32505 8775
m 30604 12184
m 18886 1668
m 21496 6645
m 32887 4834
m 12328 7647
m 20958 3266
m 29208 14543
m 21553 27230
m 18995 12893
m 16045 13253
m 14376 22024
m 11537 749
m 19777 27101
