A 10 B 10 C 7000 D 10000
<<<<<<< HEAD
n 31006 29507
n 13937 23679
n 17857 29434
n 10227 16293
n 23516 6147
n 10051 21109
n 4791 20836
n 6816 24400
n 20810 26024
n 42 5652
m 25309 28877
m 18339 24262
m 14849 17200
m 6618 13366
m 26139 7880
m 16804 9613
m 16131 29888
m 4186 7162
m 4232 22111
m 1554 377
=======
n 13368 28670
n 17223 6403
n 11478 16476
n 30574 18045
n 13681 7592
n 24746 27523
n 21622 8933
n 27265 26677
n 19377 16555
n 13282 27467
m 9827 3713
m 22748 9243
m 16432 12426
m 16087 24183
m 23744 28761
m 1636 6053
m 1862 18050
m 5062 1715
m 7712 936
m 10402 19882
>>>>>>> ce7dc34 (plot e problema do solver otimo)
