A 10 B 10 C 7000 D 10000
<<<<<<< HEAD
n 4545 9491
n 13287 22561
n 4591 8360
n 27494 12580
n 32619 14673
n 8993 2854
n 14246 2589
n 19989 24873
n 18613 27615
n 23729 8081
m 15174 4321
m 16980 786
m 24200 17556
m 14897 25026
m 12291 333
m 23106 13092
m 13704 17760
m 29539 16646
m 31685 5540
m 2393 23292
=======
n 7226 5660
n 15104 18453
n 13759 24196
n 7486 8320
n 30776 15474
n 8643 8800
n 19795 1760
n 18735 25603
n 13881 17743
n 30962 22559
m 340 29620
m 11552 26531
m 16018 15507
m 26750 3401
m 28996 29882
m 203 5204
m 19336 2132
m 24710 17926
m 28487 13970
m 16057 29135
>>>>>>> ce7dc34 (plot e problema do solver otimo)
